run,split,level,n,n_pos,n_neg,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,mcc,roc_auc,average_precision,signal_mode,ica_keep_labels,brain_ic_min_gof,brain_ic_use_dipoles,model,seed,overrides,path
cap20_seed2,train,window,2412,1373,1039,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,bipolar,"['brain', 'other']",0.0,True,LogisticRegressionCV,2,"data.lazy_loading=true; model.class_weight=balanced; data.require_keep_labels=[brain,other]; data.signal_mode=bipolar; model.class_weight=balanced; data.filter_freq=[1,100]; data.require_keep_labels=[brain,other]; data.notch_freqs=[60]; data.exclude_recordings_file=diagnostics/psd/exclude_recordings.txt; data.max_windows_per_subject=20; data.seed=2; output_dir=logs/train/bipolar_filt/runs/cap20_seed2",logs/train/bipolar_filt/runs/cap20_seed2
cap20_seed2,train,subject,154,77,77,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,bipolar,"['brain', 'other']",0.0,True,LogisticRegressionCV,2,"data.lazy_loading=true; model.class_weight=balanced; data.require_keep_labels=[brain,other]; data.signal_mode=bipolar; model.class_weight=balanced; data.filter_freq=[1,100]; data.require_keep_labels=[brain,other]; data.notch_freqs=[60]; data.exclude_recordings_file=diagnostics/psd/exclude_recordings.txt; data.max_windows_per_subject=20; data.seed=2; output_dir=logs/train/bipolar_filt/runs/cap20_seed2",logs/train/bipolar_filt/runs/cap20_seed2
cap20_seed2,test,window,671,381,290,0.6348733233979136,0.6150601864422119,0.7611548556430446,0.4689655172413793,0.6531531531531531,0.703030303030303,0.2409417954055716,0.6519775545298216,0.7045371856084689,bipolar,"['brain', 'other']",0.0,True,LogisticRegressionCV,2,"data.lazy_loading=true; model.class_weight=balanced; data.require_keep_labels=[brain,other]; data.signal_mode=bipolar; model.class_weight=balanced; data.filter_freq=[1,100]; data.require_keep_labels=[brain,other]; data.notch_freqs=[60]; data.exclude_recordings_file=diagnostics/psd/exclude_recordings.txt; data.max_windows_per_subject=20; data.seed=2; output_dir=logs/train/bipolar_filt/runs/cap20_seed2",logs/train/bipolar_filt/runs/cap20_seed2
cap20_seed2,test,subject,41,21,20,0.6585365853658537,0.6523809523809524,0.9047619047619048,0.4,0.6129032258064516,0.7307692307692307,0.3547353571031637,0.719047619047619,0.7572342740023605,bipolar,"['brain', 'other']",0.0,True,LogisticRegressionCV,2,"data.lazy_loading=true; model.class_weight=balanced; data.require_keep_labels=[brain,other]; data.signal_mode=bipolar; model.class_weight=balanced; data.filter_freq=[1,100]; data.require_keep_labels=[brain,other]; data.notch_freqs=[60]; data.exclude_recordings_file=diagnostics/psd/exclude_recordings.txt; data.max_windows_per_subject=20; data.seed=2; output_dir=logs/train/bipolar_filt/runs/cap20_seed2",logs/train/bipolar_filt/runs/cap20_seed2
cap20_seed3,train,window,2456,1383,1073,0.9995928338762216,0.999638467100506,0.9992769342010124,1.0,1.0,0.9996383363471972,0.9991729123380864,1.0,1.0,bipolar,"['brain', 'other']",0.0,True,LogisticRegressionCV,3,"data.lazy_loading=true; model.class_weight=balanced; data.require_keep_labels=[brain,other]; data.signal_mode=bipolar; model.class_weight=balanced; data.filter_freq=[1,100]; data.require_keep_labels=[brain,other]; data.notch_freqs=[60]; data.exclude_recordings_file=diagnostics/psd/exclude_recordings.txt; data.max_windows_per_subject=20; data.seed=3; output_dir=logs/train/bipolar_filt/runs/cap20_seed3",logs/train/bipolar_filt/runs/cap20_seed3
cap20_seed3,train,subject,154,77,77,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,bipolar,"['brain', 'other']",0.0,True,LogisticRegressionCV,3,"data.lazy_loading=true; model.class_weight=balanced; data.require_keep_labels=[brain,other]; data.signal_mode=bipolar; model.class_weight=balanced; data.filter_freq=[1,100]; data.require_keep_labels=[brain,other]; data.notch_freqs=[60]; data.exclude_recordings_file=diagnostics/psd/exclude_recordings.txt; data.max_windows_per_subject=20; data.seed=3; output_dir=logs/train/bipolar_filt/runs/cap20_seed3",logs/train/bipolar_filt/runs/cap20_seed3
cap20_seed3,test,window,627,371,256,0.6347687400318979,0.6405197102425876,0.6091644204851752,0.671875,0.7290322580645161,0.6637298091042585,0.2762890675376962,0.708347371967655,0.7781817486717926,bipolar,"['brain', 'other']",0.0,True,LogisticRegressionCV,3,"data.lazy_loading=true; model.class_weight=balanced; data.require_keep_labels=[brain,other]; data.signal_mode=bipolar; model.class_weight=balanced; data.filter_freq=[1,100]; data.require_keep_labels=[brain,other]; data.notch_freqs=[60]; data.exclude_recordings_file=diagnostics/psd/exclude_recordings.txt; data.max_windows_per_subject=20; data.seed=3; output_dir=logs/train/bipolar_filt/runs/cap20_seed3",logs/train/bipolar_filt/runs/cap20_seed3
cap20_seed3,test,subject,41,21,20,0.7073170731707317,0.7083333333333333,0.6666666666666666,0.75,0.7368421052631579,0.7,0.417662287361322,0.8119047619047619,0.8126951705081813,bipolar,"['brain', 'other']",0.0,True,LogisticRegressionCV,3,"data.lazy_loading=true; model.class_weight=balanced; data.require_keep_labels=[brain,other]; data.signal_mode=bipolar; model.class_weight=balanced; data.filter_freq=[1,100]; data.require_keep_labels=[brain,other]; data.notch_freqs=[60]; data.exclude_recordings_file=diagnostics/psd/exclude_recordings.txt; data.max_windows_per_subject=20; data.seed=3; output_dir=logs/train/bipolar_filt/runs/cap20_seed3",logs/train/bipolar_filt/runs/cap20_seed3
cap20_seed4,train,window,2424,1389,1035,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,bipolar,"['brain', 'other']",0.0,True,LogisticRegressionCV,4,"data.lazy_loading=true; model.class_weight=balanced; data.require_keep_labels=[brain,other]; data.signal_mode=bipolar; model.class_weight=balanced; data.filter_freq=[1,100]; data.require_keep_labels=[brain,other]; data.notch_freqs=[60]; data.exclude_recordings_file=diagnostics/psd/exclude_recordings.txt; data.max_windows_per_subject=20; data.seed=4; output_dir=logs/train/bipolar_filt/runs/cap20_seed4",logs/train/bipolar_filt/runs/cap20_seed4
cap20_seed4,train,subject,154,77,77,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,bipolar,"['brain', 'other']",0.0,True,LogisticRegressionCV,4,"data.lazy_loading=true; model.class_weight=balanced; data.require_keep_labels=[brain,other]; data.signal_mode=bipolar; model.class_weight=balanced; data.filter_freq=[1,100]; data.require_keep_labels=[brain,other]; data.notch_freqs=[60]; data.exclude_recordings_file=diagnostics/psd/exclude_recordings.txt; data.max_windows_per_subject=20; data.seed=4; output_dir=logs/train/bipolar_filt/runs/cap20_seed4",logs/train/bipolar_filt/runs/cap20_seed4
cap20_seed4,test,window,659,365,294,0.5508345978755691,0.53960488304911,0.6438356164383562,0.4353741496598639,0.5860349127182045,0.6135770234986945,0.080670878980025,0.5717826856770105,0.6022712214047171,bipolar,"['brain', 'other']",0.0,True,LogisticRegressionCV,4,"data.lazy_loading=true; model.class_weight=balanced; data.require_keep_labels=[brain,other]; data.signal_mode=bipolar; model.class_weight=balanced; data.filter_freq=[1,100]; data.require_keep_labels=[brain,other]; data.notch_freqs=[60]; data.exclude_recordings_file=diagnostics/psd/exclude_recordings.txt; data.max_windows_per_subject=20; data.seed=4; output_dir=logs/train/bipolar_filt/runs/cap20_seed4",logs/train/bipolar_filt/runs/cap20_seed4
